Fold,Model,F1_Crack,Precision,Recall,Accuracy,MCC,AUC,PR_AUC_Crack
1,LDA,0.7058823529411765,0.5454545454545454,1.0,0.9279366842543738,0.9028230438602194,0.999836158855654,0.9871482728186863
1,XGBoost,0.9800960878517502,0.9609690444145357,1.0,0.989215958530038,0.9850033340926447,1.0,1.0
2,LDA,0.17683686176836863,0.10872894333843798,0.47333333333333333,0.9240653661716095,0.8967066209803577,0.8935299357682029,0.17759832390043628
2,XGBoost,0.5725190839694656,0.6696428571428571,0.5,0.9870105684622189,0.9817865800645775,0.9809923890790316,0.6055842621940155
3,LDA,0.8562028256241533,0.8132352941176471,0.9039640375970576,0.929299599653308,0.9082879198184948,0.9924932299953204,0.9353353594078633
3,XGBoost,0.9807692307692307,0.9819746005735355,0.9795668165100122,0.9892277848858806,0.9858694003148522,0.9997662500843799,0.9965959644150191
4,LDA,0.7711381105876519,0.6619838229033631,0.9233966745843231,0.9186918691869187,0.8936796361503101,0.9889600046612748,0.8772729243644147
4,XGBoost,0.9517480496966195,0.9268429938097917,0.9780285035629454,0.9856842827139857,0.9809387174860007,0.9995662424957922,0.9938327601286353
5,LDA,0.7676258992805756,0.653398652786283,0.93025283347864,0.9289141247414059,0.9061392745978057,0.9914036989083495,0.8576187358498079
5,XGBoost,0.5139240506329114,0.9376443418013857,0.35396687009590233,0.9584488753906422,0.9447082078921148,0.9725176134066391,0.7705441546180551
6,LDA,0.7478822105687777,0.5988372093023255,0.9957035445757251,0.9277196844615667,0.9031174424623468,0.9995076870952421,0.9873686425974769
6,XGBoost,0.7871077184054284,0.6503153468815698,0.9967776584317938,0.9667033571821684,0.9546616525459887,0.9988656270855565,0.9781965778522779
7,LDA,0.7318611987381703,0.5779359430604982,0.9975429975429976,0.9273807865533733,0.901906437038793,0.9990976684264335,0.9685456231793768
7,XGBoost,0.9044834307992202,0.96,0.855036855036855,0.9856525978548545,0.9800099145859454,0.9970182924147118,0.9572565506954598
8,LDA,0.8031446540880504,0.6785334750265675,0.9838212634822804,0.9299982477659016,0.9082261372211333,0.997261104833117,0.9549942432721577
8,XGBoost,0.9801375095492743,0.9719696969696969,0.9884437596302003,0.9893113719992991,0.9855991059965052,0.9985029667994707,0.9923165491338105
9,LDA,0.8427856547122602,0.7713740458015267,0.9287683823529411,0.9331488790332425,0.9140731236108004,0.9911215967905845,0.9423442481596437
9,XGBoost,0.8689444161142275,0.9759450171821306,0.7830882352941176,0.9721691011921716,0.9639324743100226,0.9949545565849214,0.9695112668347183
10,LDA,0.767644726407613,0.6249193027759845,0.9948612538540597,0.9277922804400522,0.9020888404579853,0.9982266947110034,0.9634814770177098
10,XGBoost,0.9553617239610056,0.9538934426229508,0.9568345323741008,0.9882062278575424,0.9835209020366242,0.9994937284914278,0.9864017085628001
11,LDA,0.6379853095487933,0.5174468085106383,0.8317373461012312,0.9200884700451967,0.8884521197658628,0.9850729195362431,0.6784115804136276
11,XGBoost,0.9694915254237289,0.9610215053763441,0.9781121751025992,0.9897586306375613,0.9853662405130399,0.999910355030211,0.9977240300558663
12,LDA,0.8118811881188119,0.6873767258382643,0.9914651493598862,0.9294776955839498,0.9065223866944463,0.9990928734875185,0.9863053237537253
12,XGBoost,0.7017543859649122,0.9547123623011016,0.5547652916073968,0.9593813046402152,0.9451963188822972,0.9708829575720714,0.8093460884809077
13,LDA,0.6357452071737786,0.47155963302752296,0.9753320683111955,0.9265590226809981,0.8994155574499438,0.9946540650999854,0.9219003223536719
13,XGBoost,0.9619312906220984,0.9418181818181818,0.9829222011385199,0.9899616459112648,0.9858277070648741,0.9983236245095828,0.9868540245761546
14,LDA,0.07686017988552739,0.07332293291731669,0.08075601374570447,0.8997746127655494,0.8608326300970376,0.8069072147996029,0.07032508466609404
14,XGBoost,0.9617021276595744,0.9527824620573356,0.9707903780068728,0.9898335970843524,0.9855129034503015,0.9997010439812024,0.992363462359453
15,LDA,0.49482758620689654,0.3344988344988345,0.9503311258278145,0.9250206120568408,0.8954877667409916,0.9948674437320782,0.749777476177836
15,XGBoost,0.8988391376451078,0.9003322259136213,0.8973509933774835,0.9889422377418885,0.9840776435816705,0.9994000717762536,0.9637459801316264
16,LDA,0.43106796116504853,0.27680798004987534,0.9736842105263158,0.925497566382343,0.89676585758185,0.9967631523382836,0.8879438570549568
16,XGBoost,0.9094650205761317,0.8565891472868217,0.9692982456140351,0.9901691484747723,0.9859304372751287,0.9992456046318593,0.9808899128535671
17,LDA,0.5982562038900067,0.6380543633762518,0.5631313131313131,0.9017095965352177,0.8648703163629282,0.9690411497908673,0.6717528678539011
17,XGBoost,0.885053503624439,0.9763899466869764,0.8093434343434344,0.97725096877137,0.9686811893152071,0.9975977466672028,0.9774552204954872
18,LDA,0.028985507246376812,0.030357142857142857,0.02773246329526917,0.8991126543209876,0.8561112772822465,0.8381336509666205,0.08120571187252959
18,XGBoost,0.8113553113553114,0.9248434237995825,0.7226753670473083,0.9818672839506173,0.9739848156979775,0.9937423994148872,0.8969041774723917
19,LDA,0.20098039215686275,0.19069767441860466,0.21243523316062177,0.9063417922665767,0.8670501354317285,0.9341579481030301,0.1912461279099784
19,XGBoost,0.9730185497470489,0.9505766062602965,0.9965457685664939,0.990273029325372,0.9860934313544009,0.9999082031323521,0.9968287114694758
20,LDA,0.629926752703174,0.602803738317757,0.6596055514974434,0.9049788633161109,0.8697392051779684,0.8820194773005674,0.6848948586060553
20,XGBoost,0.7875108412836079,0.9690501600853789,0.6632578524470416,0.9692343823391264,0.9573760827058844,0.9750580167850007,0.8277992235731916
